ds,yhat,yhat_lower,yhat_upper
2023-04-09,199.76094406638083,170.71543862874896,228.6803974467061
2023-04-10,199.27335709168983,170.63762720483604,227.39617001229917
2023-04-11,198.70670129723388,169.12689988335532,227.18032709202785
2023-04-12,201.48226870504308,172.51400074213447,228.89604315483314
2023-04-13,200.32293499752322,169.8620917270932,229.64826440539397
2023-04-14,201.65221953321665,171.65953217188442,229.8866080252825
2023-04-15,199.33490176171355,172.29897434788802,227.6158714422059
2023-04-16,200.47117989747989,170.9706038669973,228.4013999160395
2023-04-17,199.98359292319924,170.6620702639301,227.99029043993178
2023-04-18,199.41693712916688,170.35170186350632,228.86493633256572
2023-04-19,202.19250453739014,172.4115090014689,229.72558922311703
2023-04-20,201.03317082986885,172.98450037922257,228.91730651520172
2023-04-21,202.36245536556302,173.73309943235503,230.99593158974133
2023-04-22,200.0451375940652,171.7298193757814,228.41213137262085
2023-04-23,201.1814157298238,173.28760863361202,229.57200550096834
2023-04-24,200.6938287555534,173.21519312938395,229.49625067135463
2023-04-25,200.1271729615111,170.1441655632444,228.67940813185533
2023-04-26,202.90274036973173,174.3141698151197,232.63505883703766
2023-04-27,201.74340666221366,171.9830842591315,229.3008115194903
2023-04-28,203.0726911979094,176.03832894215236,232.1404832068407
2023-04-29,200.75537342640686,172.231141817675,228.6399391165854
2023-04-30,201.89165156216723,173.78263408833973,232.71263341013736
2023-05-01,201.40406458789232,171.6856828446531,232.0661719432805
2023-05-02,200.83740879386173,173.75502221444358,230.87784900595958
2023-05-03,203.61297620207878,176.97601465714396,233.841045284999
2023-05-04,202.45364249455923,174.23704446468622,230.5197276438892
2023-05-05,203.78292703025053,176.30232159767428,232.80867895899706
2023-05-06,201.4656092587531,171.79435974581958,229.09164194827855
2023-05-07,202.599913376987,171.75774733593627,233.5256444649768
2023-05-08,202.11035238517712,173.5232629625649,230.5722794651244
